ChargeThreshold_fC,Probability,CrossSection_cm2,CrossSection_Uncertainty_cm2
0.025683959287893864,0.04302473739941209,6.883957983905937e-13,3.331644064880226e-15
0.026404663623750223,0.0407934574532361,6.526953192517778e-13,3.2441003855186034e-15
0.027145591272293698,0.03875466704549617,6.200746727279389e-13,3.161990443727083e-15
0.02790730970947204,0.036816660240195344,5.890665638431257e-13,3.081912246660952e-15
0.02869040233488291,0.0350217641225321,5.603482259605138e-13,3.0058451428916223e-15
0.029495468918599218,0.03331757368253381,5.330811789205412e-13,2.9317962367996204e-15
0.03032312606053258,0.031738349336637536,5.078135893862008e-13,2.861467261901941e-15
0.031174007662686715,0.0301782771991092,4.828524351857474e-13,2.7902513060437372e-15
0.03204876541466256,0.028718980756174423,4.595036920987909e-13,2.7219495780651672e-15
0.03294806929278689,0.027337285217174795,4.373965634747969e-13,2.6556615977428165e-15
0.03387260807324664,0.026078549619012046,4.172567939041929e-13,2.5937985589595342e-15
0.034823089859622104,0.024784537005502497,3.965525920880401e-13,2.5286245297841034e-15
